shot_number,start_time_seconds,end_time_seconds,start_frame,end_frame,duration_seconds,metadata_ShotDescription,metadata_GenreCues,metadata_SubgenreCues,metadata_AdjectiveTheme,metadata_Mood,metadata_SettingContext,metadata_ContentDescriptors,metadata_LocationHints_Regional,metadata_LocationHints_International,metadata_SearchKeywords
69,157.5504775238762,159.55217760888044,3778,3826,2.001700085004245,A character with dreadlocks is holding a purple comb in a boxing ring.,"[{""genre_hint"": ""Action"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Fighting"", ""prominence_in_shot"": ""100%""}]","""dark""","""intense""","""a boxing ring""","""a character with dreadlocks""","""boxing ring""","""boxing ring""","""boxing ring, character with dreadlocks, intense mood"""
70,159.55217760888044,160.26111305565277,3826,3843,0.7089354467723297,A man with dreadlocks is holding a purple comb and appears to be in a state of shock or surprise.,"[{""genre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","""comedy""","""comedy""","""comedy""","""comedy""","""comedy""","""comedy""","""comedy"""
71,160.26111305565277,161.1785589279464,3843,3865,0.9174458722936265,"A surreal, abstract scene featuring a cluster of purple, organic-looking shapes against a dark, foggy background.","[{""genre_hint"": ""Abstract art, surrealism"", ""prominence_in_shot"": ""High""}]","[{""subgenre_hint"": ""Abstract art, surrealism"", ""prominence_in_shot"": ""High""}]","""Abstract, surreal, organic, dark, foggy""","""Abstract, surreal, organic, dark, foggy""","""Abstract, surreal, organic, dark, foggy""","""Abstract, surreal, organic, dark, foggy""","""Abstract, surreal, organic, dark, foggy""","""Abstract, surreal, organic, dark, foggy""","""Abstract, surreal, organic, dark, foggy"""
72,161.1785589279464,161.59557977898893,3865,3875,0.41702085104253683,A person is brushing their hair with a purple comb.,"[{""genre_hint"": ""hair styling"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""hair care"", ""prominence_in_shot"": ""1""}]","""hair care""","""positive""","""personal space""","""hair styling""","""personal space""","""personal space""","""hair styling"""
73,161.59557977898893,162.76323816190808,3875,3903,1.167658382919143,"A muscular man with dreadlocks and tattoos is standing in a wrestling ring, looking excited and ready to fight.","[{""genre_hint"": ""Action"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Wrestling"", ""prominence_in_shot"": ""100%""}]","""Exciting""","""Excited""","""Wrestling ring""","""Wrestling match""","""Wrestling ring""","""Wrestling ring""","""Wrestling match"""
74,162.76323816190808,163.93089654482725,3903,3931,1.1676583829191713,"A female character in a boxing ring, wearing a white tank top and black shorts, performing a boxing move with her fists raised and her body leaning forward.","[{""genre_hint"": ""Action"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Boxing"", ""prominence_in_shot"": ""100%""}]","""Action""","""Exciting""","""A boxing ring""","""A female character performing a boxing move""","""International""","""Boxing ring""","""Boxing, female character, action, exciting, boxing ring"""
75,163.93089654482725,166.09940497024851,3931,3983,2.1685084254212654,A cartoon character with long hair and a tank top is standing in a boxing ring.,"[{""genre_hint"": ""action"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","""dark""","""intense""","""a boxing ring""","""a cartoon character""","""a boxing ring""","""a boxing ring""","""boxing ring"""
76,166.09940497024851,167.0168508425421,3983,4005,0.9174458722935981,"A dark, mysterious scene with silhouetted figures in the background, illuminated by a bright light source.","[{""genre_hint"": ""Mystery"", ""prominence_in_shot"": ""High""}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": ""High""}]","""Dark""","""Mysterious""","""Fantasy""","""Mysterious""","""None""","""None""","""Mystery, Fantasy, Dark, Mysterious"""
77,167.0168508425421,167.76748837441872,4005,4023,0.7506375318766061,A cartoon character with dreadlocks in a boxing ring,"[{""genre_hint"": ""action"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","""comedy""","""comedy""","""comedy""","""comedy""","""comedy""","""comedy""","""comedy"""
78,167.76748837441872,168.22621131056553,4023,4034,0.45872293614681325,"A dramatic scene with a large, dark, and ominous cloud of smoke or fog, possibly smoke or fog, filling the frame, creating a sense of mystery and foreboding.","[{""genre_hint"": ""Mystery"", ""prominence_in_shot"": ""High""}]","[{""subgenre_hint"": ""Thriller"", ""prominence_in_shot"": ""High""}]","""Dark""","""Intense""","""Isolated""","""Mysterious""","""Isolated""","""Isolated""","""Mystery, Dark, Intense, Isolated"""
79,168.22621131056553,168.64323216160807,4034,4044,0.41702085104253683,A man in a white tank top and black shorts is falling down a boxing ring.,"[{""genre_hint"": ""Action"", ""prominence_in_shot"": 0.8}]","[{""subgenre_hint"": ""Sports"", ""prominence_in_shot"": 0.5}]","""dramatic""","""intense""","""a boxing ring""","""a man falling down a boxing ring""",[],[],"""boxing, man, falling, ring"""
80,168.64323216160807,169.8525926296315,4044,4073,1.2093604680234193,A cartoon character in a boxing ring with a crowd in the background.,"[{""genre_hint"": ""Action"", ""prominence_in_shot"": ""High""}]","[{""subgenre_hint"": ""Sports"", ""prominence_in_shot"": ""High""}]","""Action""","""Exciting""","""Sports arena""","""Boxing match""","""United States""","""Worldwide""","""Boxing, sports, action, excitement, arena, match"""
81,169.8525926296315,170.7700385019251,4073,4095,0.9174458722935981,A cartoon character with dreadlocks is standing in a boxing ring.,"[{""genre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","""humorous""","""amused""","""a boxing ring""","""a cartoon character""","""a boxing ring""","""a boxing ring""","""dreadlocks, boxing, comedy"""
82,170.7700385019251,171.85429271463573,4095,4121,1.084254212710647,A hand holding a glowing yellow rubber band against a dark background.,"[{""genre_hint"": ""Abstract"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Abstract Art"", ""prominence_in_shot"": ""100%""}]","""Abstract""","""Abstract""","""Abstract""","""Abstract""","""Abstract""","""Abstract""","""Abstract"""
83,171.85429271463573,172.85514275713786,4121,4145,1.0008500425021225,A cartoon character in a boxing ring with a smoky background.,"[{""genre_hint"": ""Action"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Fighting"", ""prominence_in_shot"": ""100%""}]","""Smoky""","""Exciting""","""Boxing ring""","""Boxing""","""International""","""Boxing ring""","""Smoky boxing ring"""
84,172.85514275713786,173.2721636081804,4145,4155,0.41702085104253683,A close-up of a child's face with wide eyes and a surprised expression.,"[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": ""50%""}]","""Mysterious""","""Excitement""","""Childhood""","""Child's eyes""","""Unknown""","""Unknown""","""Child's eyes, mystery, excitement, childhood"""
85,173.2721636081804,175.6074803740187,4155,4211,2.3353167658383143,"A young boy with curly hair and large eyes looks up in surprise as a large, dark, and menacing creature looms over him.","[{""genre_hint"": ""fantasy"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""fantasy"", ""prominence_in_shot"": ""high""}]","""dark""","""fear""","""dark and ominous""","""fantasy creature""","""none""","""none""","""fantasy creature"""
86,175.6074803740187,177.60918045902295,4211,4259,2.001700085004245,A cartoon character in a boxing ring with a large black creature looming over him.,"[{""genre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","""dark""","""fear""","""dark""","""fear""","""none""","""none""","""fear"""
87,177.60918045902295,178.0262013100655,4259,4269,0.41702085104253683,"A man with dreadlocks and a tattoo on his face is standing in a dark, cloudy background.","[{""genre_hint"": ""drama"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","""dark and dramatic""","""intense and emotional""","""a dramatic and intense atmosphere""","""a man with dreadlocks and a tattoo on his face""","""a dark, cloudy background""","""a dark, cloudy background""","""dreadlocks, tattoo, intense, dramatic"""
88,178.0262013100655,178.44322216110805,4269,4279,0.41702085104256525,A person with long hair standing in front of a dark background with a spotlight shining on them.,"[{""genre_hint"": ""Fantasy"", ""prominence_in_shot"": ""High""}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": ""High""}]","""Dark""","""Mysterious""","""Luminous""","""Mysterious""","""None""","""None""","""Mysterious"""
89,178.44322216110805,178.90194509725487,4279,4290,0.45872293614681325,"A dark, mysterious scene with a silhouette of a person or object in the center, illuminated by a spotlight.","[{""genre_hint"": ""Mystery"", ""prominence_in_shot"": ""High""}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": ""High""}]","""Dark""","""Mysterious""","""Intimate""","""Mysterious""","""None""","""None""","""Mystery, Fantasy, Dark, Intimate"""
90,178.90194509725487,180.7368368418421,4290,4334,1.8348917445872246,"A dark, shadowy figure with long hair stands against a light background.","[{""genre_hint"": ""Fantasy"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": ""1""}]","""Mysterious""","""Intense""","""Dark and ominous""","""Fantasy, mystery, intense atmosphere""","""None""","""None""","""Mysterious figure, dark background, intense atmosphere"""
91,180.7368368418421,181.23726186309315,4334,4346,0.5004250212510613,"A close-up of a person with long hair, wearing a dark shirt, speaking against a plain background.","[{""genre_hint"": ""Fantasy"", ""prominence_in_shot"": ""High""}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": ""High""}]","""Fantasy""","""Excited""","""Interior""","""Fantasy""","""None""","""None""","""Fantasy"""
92,181.23726186309315,184.19810990549527,4346,4417,2.9608480424021195,A young boy sits on a bed in a bedroom.,"[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Action"", ""prominence_in_shot"": 0.2}]","""Adventure""","""Excited""","""Home""","""Childhood""","""Home""","""Home""","""Home"""
93,184.19810990549527,185.90789539476972,4417,4458,1.7097854892744522,A young girl with curly hair is sitting on a bed in a bedroom.,"[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": 0.2}]","""fantasy""","""excited""","""bedroom""","""young girl""","""bedroom""","""bedroom""","""bedroom, girl, fantasy"""
94,185.90789539476972,188.2849142457123,4458,4515,2.3770188509425623,A young girl with curly black hair is sitting in a room with a bed and a window in the background.,"[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": 0.2}]","""dark""","""sad""","""home""","""child""","""home""","""home""","""child, sadness, home"""
95,188.2849142457123,190.37001850092503,4515,4565,2.085104255212741,A young girl with curly hair sitting on a bed in a bedroom.,"[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": 0.2}]","""curly hair""","""sad""","""bedroom""","""young girl""","""bedroom""","""bedroom""","""curly hair"""
96,190.37001850092503,196.50022501125056,4565,4712,6.130206510325536,A young girl with curly black hair sitting at a table in a room with a window and a bed.,"[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Action"", ""prominence_in_shot"": 0.2}]","""Adventure""","""Excited""","""Home""","""Family""","""Home""","""Home""","""Home"""
97,196.50022501125056,202.08830441522076,4712,4846,5.588079403970198,A man and a girl are in a room. The man is putting on a red hat and the girl is looking at him with a surprised expression.,"[{""genre_hint"": ""comedy"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""drama"", ""prominence_in_shot"": 0.25}]","""comedy""","""amused""","""home""","""family""","""home""","""home""","""family, home, comedic"""
98,202.08830441522076,202.63043152157607,4846,4859,0.5421271063553093,A man with a tattoo on his arm is helping a woman with curly hair out of a bed.,"[{""genre_hint"": ""Romance"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Romantic Comedy"", ""prominence_in_shot"": 0.5}]","""Romantic""","""Amused""","""Home""","""Romantic Comedy""","""Home""","""Home""","""Romantic Comedy"""
99,202.63043152157607,204.04830241512076,4859,4893,1.4178708935446878,A young man with a tattoo on his arm is standing in a bedroom.,"[{""genre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""romance"", ""prominence_in_shot"": ""high""}]","""humorous""","""amused""","""a bedroom""","""a young man with a tattoo on his arm""","""a bedroom""","""a bedroom""","""a young man with a tattoo on his arm"""
100,204.04830241512076,206.3419170958548,4893,4948,2.293614680734038,A man in a room with a colorful dresser and a bed with a pink blanket.,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""comedy"", ""prominence_in_shot"": 0.5}]","""humorous""","""amused""","""interior""","""person""","""none""","""none""","""dance"""
101,206.3419170958548,223.89849492474625,4948,5369,17.55657782889145,A man with dreadlocks is standing in a hallway with a tattoo on his arm.,"[{""genre_hint"": ""Action"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Action"", ""prominence_in_shot"": 0.5}]","""tattooed man""","""troubled""","""interior""","""interior setting""","""interior""","""interior""","""tattooed man"""
102,223.89849492474625,229.6950847542377,5369,5508,5.796589829491467,A cartoon character is standing in a bathroom with a cat looking at them. The character is wearing a white tank top and black pants. The cat is gray and white and has a worried expression on its face.,"[{""genre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","""humorous""","""amused""","""bathroom""","""comedy, humor, cartoon""","""unspecified""","""unspecified""","""comedy, cartoon, bathroom, cat"""
103,229.6950847542377,232.4057202860143,5508,5573,2.7106355317765747,A young girl with curly hair is holding a tablet displaying an image of a woman with curly hair and a child with a pink bow in her hair.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Family portrait"", ""prominence_in_shot"": 1}]","""happy""","""happy""","""home""","""family portrait""","""home""","""home""","""family portrait"""
104,232.4057202860143,236.74273713685685,5573,5677,4.337016850842559,"A young boy with dreadlocks is holding a tablet in his hands, looking at it with a focused expression.","[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Childhood"", ""prominence_in_shot"": ""1""}]","""Family""","""Happy""","""Home""","""Childhood""","""Home""","""Home""","""Family, Childhood, Home"""
105,236.74273713685685,240.7044352217611,5677,5772,3.961698084904242,"A person is holding a picture of a woman and a child, with the woman wearing a green top and the child wearing a pink dress.","[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Family portrait"", ""prominence_in_shot"": ""1""}]","""Family portrait""","""Happy""","""Home""","""Family portrait, home""","""Home""","""Home""","""Family portrait, home"""
106,240.7044352217611,244.66613330666533,5772,5867,3.961698084904242,A woman with curly hair is holding a picture of a young girl with a pink bow in her hair. The woman is wearing a green top and has a warm smile on her face.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Family portrait"", ""prominence_in_shot"": ""1""}]","""happy""","""warm""","""home""","""family portrait""","""home""","""home""","""family portrait"""
107,244.66613330666533,247.62698134906745,5867,5938,2.9608480424021195,A young girl with curly hair is holding a tablet displaying a picture of a woman and a child.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Childhood"", ""prominence_in_shot"": ""1""}]","""Family""","""Happy""","""Home""","""Family portrait, childhood memories, home environment""","""Home""","""Home""","""Family portrait, childhood memories, home environment"""
108,247.62698134906745,249.3367668383419,5938,5979,1.7097854892744522,A young girl with curly hair is looking at a laptop in a room.,"[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": 0.2}]","""fantasy""","""excited""","""home""","""computer""","""home""","""home""","""computer"""
109,249.3367668383419,253.42357117855892,5979,6077,4.086804340217014,A man with dreadlocks is talking to a young girl with curly hair.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": 1}]","""happy""","""positive""","""home""","""intergenerational""","""home""","""home""","""family, home, positive, intergenerational"""
110,253.42357117855892,254.96654832741638,6077,6114,1.5429771488574602,,[],[],[],[],[],[],[],[],[]
111,254.96654832741638,256.8848442422121,6114,6160,1.918295914795749,A young girl with curly hair is standing in a bathroom.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": ""100%""}]","""happy""","""positive""","""bathroom""","""bathroom scene""","""bathroom""","""bathroom""","""bathroom, hair, girl"""
112,256.8848442422121,258.4695234761738,6160,6198,1.5846792339616513,A cartoon of a woman with a large afro haircut standing in a bathroom.,"[{""genre_hint"": ""haircut"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""haircut"", ""prominence_in_shot"": ""high""}]","""haircut""","""happy""","""bathroom""","""haircut""","""bathroom""","""bathroom""","""haircut"""
113,258.4695234761738,260.3878193909695,6198,6244,1.918295914795749,A close-up of a person with curly hair wearing a green top and gold hoop earrings against a soft pink and yellow background.,"[{""genre_hint"": ""Fashion"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Fashion"", ""prominence_in_shot"": ""1""}]","""Fashion""","""Relaxed""","""Fashion""","""Fashion""","""Fashion""","""Fashion""","""Fashion"""
114,260.3878193909695,262.6397319865993,6244,6298,2.25191259562979,A close-up of a hand applying a white cream to a person's back.,"[{""genre_hint"": ""Adhesive"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Adhesive"", ""prominence_in_shot"": 1}]","""creamy""","""soft""","""personal""","""personal care""","""personal""","""personal""","""cream application"""
115,262.6397319865993,264.8916445822291,6298,6352,2.25191259562979,A close-up of a hand applying a cream to a person's back.,"[{""genre_hint"": ""cosmetic"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""hair care"", ""prominence_in_shot"": ""high""}]","""hair care""","""relaxing""","""hair salon""","""hair styling""","""hair salon""","""hair salon""","""hair styling"""
116,264.8916445822291,267.8941947097355,6352,6424,3.0025501275063675,A close-up of a person with curly hair being brushed by a purple comb.,"[{""genre_hint"": ""hair care"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""hair styling"", ""prominence_in_shot"": ""high""}]","""hair care""","""relaxing""","""hair salon""","""hair styling""","""hair salon""","""hair salon""","""hair styling"""
117,267.8941947097355,279.4039701985099,6424,6700,11.509775488774437,A close-up of a person's hand holding a comb and brushing a person's hair.,"[{""genre_hint"": ""hair care"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""hair styling"", ""prominence_in_shot"": ""high""}]","""hair care""","""relaxing""","""bathroom""","""hair styling""","""bathroom""","""bathroom""","""hair styling"""
118,279.4039701985099,281.48907445372265,6700,6750,2.085104255212741,"Two animated girls with curly hair and pink hair ties are standing in front of a window. A gray cat with green eyes is sitting on the windowsill, looking at the girls.","[{""genre_hint"": ""animated"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""animal"", ""prominence_in_shot"": ""100%""}]","""animal""","""calm""","""interior""","""animated, animal, calm, interior""","""none""","""none""","""animated, animal, calm, interior"""
119,281.48907445372265,286.91034551727586,6750,6880,5.421271063553206,A cartoon cat and a person in a bathroom.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": 0.5}]","""happy""","""positive""","""bathroom""","""family""","""bathroom""","""bathroom""","""bathroom, family, happy, positive"""
120,286.91034551727586,292.3733186659333,6880,7011,5.462973148657454,A man with dreadlocks and tattoos is holding a young girl in a bathroom.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": 1}]","""happy""","""joyful""","""bathroom""","""family""","""bathroom""","""bathroom""","""family, happy, bathroom"""
121,292.3733186659333,296.8354417720886,7011,7118,4.462123106155275,A man and a young girl are embracing each other in a room.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Emotional"", ""prominence_in_shot"": 1}]","""warm""","""joyful""","""home""","""family reunion""","""home""","""home""","""family reunion"""
122,296.8354417720886,300.71373568678433,7118,7211,3.878293914695746,A man and a young girl are standing in a hallway. The man is wearing a blue shirt and the girl is wearing a pink dress.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","""happy""","""joyful""","""home""","""family""","""home""","""home""","""family, home, joy, happiness"""
123,300.71373568678433,306.5937296864843,7211,7352,5.879993999699991,A man and a young girl are walking down a hallway in a building.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": 0.5}]","""happy""","""positive""","""interior""","""family""","""urban""","""international""","""family, happiness, interior, urban, international"""
124,306.5937296864843,310.0550027501375,7352,7435,3.4612730636531523,A woman in a wheelchair looking out the window of a hospital room.,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""emotional"", ""prominence_in_shot"": 0.3}]","""sadness""","""sadness""","""hospital""","""hospital room""","""USA""","""USA""","""hospital room, sadness, wheelchair"""
125,310.0550027501375,314.8924446222311,7435,7551,4.8374418720936205,A woman in a wheelchair looking out the window in a hospital room.,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""emotional"", ""prominence_in_shot"": 0.3}]","""sadness""","""sadness""","""hospital""","""hospital room""","""hospital""","""hospital""","""hospital"""
126,314.8924446222311,315.85159257962897,7551,7574,0.9591479573978745,A young woman with a yellow head wrap and hoop earrings is smiling in a mirror.,"[{""genre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""romance"", ""prominence_in_shot"": ""high""}]","""happy""","""positive""","""interior""","""personal""","""unknown""","""unknown""","""unknown"""
127,315.85159257962897,318.97924896244814,7574,7649,3.1276563828191684,A young girl in a pink dress with sparkles is running towards a wheelchair in a hospital room.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Adventure"", ""prominence_in_shot"": 0.2}]","""happy""","""joyful""","""hospital""","""family, adventure, joy, hospital""",[],[],"""family, adventure, joy, hospital"""
128,318.97924896244814,323.60818040902046,7649,7760,4.628931446572324,A woman in a wheelchair is hugging a young girl in a room.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Emotional"", ""prominence_in_shot"": 1}]","""warm""","""joyful""","""home""","""family reunion""","""home""","""home""","""family reunion"""
129,323.60818040902046,326.61073053652683,7760,7832,3.0025501275063675,A woman with a yellow headscarf and a young girl with a pink bow in her hair are standing in a room. The woman is holding a bouquet of sunflowers.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": 1}]","""happy""","""positive""","""home""","""family""","""home""","""home""","""family, home, positive, happy"""
130,326.61073053652683,334.1171058552928,7832,8012,7.506375318765947,A family is gathered in a room. The father is holding a bouquet of flowers and is talking to the mother and daughter. The mother is wearing a white tank top and has a yellow scarf wrapped around her head. The daughter is wearing a pink dress and has a pink bow in her hair. The room has a window with a view of a city skyline. The family is smiling and appears to be happy.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","""happy""","""happy""","""home""","""family""","""home""","""home""","""family, home, happy"""
131,334.1171058552928,335.70178508925443,8012,8050,1.5846792339616513,"A family is gathered in a room. The father is holding a piece of paper, the mother is smiling, and the daughter is looking at the paper with a curious expression.","[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","""Family""","""Happy""","""Home""","""Family gathering, happy moment""","""Home""","""Home""","""Family, home, happy moment"""
132,335.70178508925443,337.3698684934247,8050,8090,1.668083404170261,A young girl with a pink bow in her hair is reading a piece of paper in a room with a plant and a shelf in the background.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Education"", ""prominence_in_shot"": ""1""}]","""happy""","""positive""","""home""","""reading""","""home""","""home""","""reading"""
133,337.3698684934247,340.3307165358268,8090,8161,2.9608480424021195,A woman with blonde hair and hoop earrings is holding a piece of paper with a drawing of a person wearing a crown.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Childhood"", ""prominence_in_shot"": ""1""}]","""Childhood""","""Serious""","""Home""","""Family""","""Home""","""Home""","""Family, Childhood, Home"""
134,340.3307165358268,343.50007500375017,8161,8237,3.1693584679233595,A woman with blonde hair and a yellow headscarf is holding a piece of paper with a drawing of a person wearing a crown. She is sitting in a room with a window in the background.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Childhood"", ""prominence_in_shot"": ""1""}]","""Family""","""Happy""","""Home""","""Family portrait, childhood memories, happiness""","""Home""","""Home""","""Family portrait, childhood memories, happiness"""
135,343.50007500375017,345.5017750887544,8237,8285,2.001700085004245,A young girl with a pink bow in her hair is reading a letter in a room with a tiled floor and a window in the background.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Education"", ""prominence_in_shot"": 1}]","[{""adjective"": ""happy""}]","[{""mood"": ""calm""}]","[{""setting"": ""home""}]","[{""content"": ""reading""}]","[{""hint"": ""home""}]","[{""hint"": ""home""}]","[{""keyword"": ""reading""}]"
136,345.5017750887544,351.13155657782886,8285,8420,5.629781489074446,A young girl with a pink bow in her hair is standing in a room with tiled floors and a window in the background.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": 0.5}]","""happy""","""calm""","""home""","""family""","""home""","""home""","""family"""
137,351.13155657782886,352.79963998199906,8420,8460,1.6680834041702042,A young girl with curly hair and a pink bow in her hair is standing in a room with a white wall and a window in the background. She is wearing a pink dress and is looking at a woman with a bald head who is wearing a white tank top and large hoop earrings. The woman is holding a piece of paper and is smiling at the girl.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","""Family""","""Happy""","""Home""","""Family""","""Home""","""Home""","""Family, Home"""
138,352.79963998199906,357.3451672583629,8460,8569,4.545527276363828,"A close-up of a young girl with curly hair and a pink bow, wearing a white shirt and pink dress, looking up at a woman with a bald head and large hoop earrings, who is smiling and looking down at her.","[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","""warm""","""happy""","""intergenerational""","""family""","""intergenerational""","""intergenerational""","""family, intergenerational, warm, happy, content descriptors, setting context, location hints regional, location hints international"""
139,357.3451672583629,362.4745237261863,8569,8692,5.129356467823413,A warm embrace between two adults and a child in a cozy room.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": 1}]","""love""","""joyful""","""home""","""family""","""home""","""home""","""family love"""
140,362.4745237261863,367.2702635131757,8692,8807,4.7957397869893725,"A woman in a hospital wheelchair with a young girl standing beside her, both smiling.","[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Healthcare"", ""prominence_in_shot"": 1}]","""happy""","""positive""","""hospital""","""family, healthcare, positive""",[],[],"""family, healthcare, positive"""
